vote_event:id,voter:id,option
8-26,"Kafka, Vladimír",for
8-27,"Kafka, Vladimír",for
8-28,"Kafka, Vladimír",for
8-29,"Kafka, Vladimír",for
8-30,"Kafka, Vladimír",for
8-31,"Kafka, Vladimír",for
8-32,"Kafka, Vladimír",for
8-33,"Kafka, Vladimír",for
8-34,"Kafka, Vladimír",abstain
8-35,"Kafka, Vladimír",for
8-36,"Kafka, Vladimír",for
8-37,"Kafka, Vladimír",for
8-38,"Kafka, Vladimír",for
8-39,"Kafka, Vladimír",for
8-40,"Kafka, Vladimír",for
8-41,"Kafka, Vladimír",for
9-1,"Kafka, Vladimír",absent
9-2,"Kafka, Vladimír",absent
9-3,"Kafka, Vladimír",for
9-4,"Kafka, Vladimír",for
9-5,"Kafka, Vladimír",for
9-6,"Kafka, Vladimír",for
9-7,"Kafka, Vladimír",for
9-8,"Kafka, Vladimír",for
9-9,"Kafka, Vladimír",for
9-10,"Kafka, Vladimír",for
9-11,"Kafka, Vladimír",for
9-12,"Kafka, Vladimír",for
9-13,"Kafka, Vladimír",for
9-14,"Kafka, Vladimír",for
9-15,"Kafka, Vladimír",for
9-16,"Kafka, Vladimír",for
9-17,"Kafka, Vladimír",for
9-18,"Kafka, Vladimír",for
9-19,"Kafka, Vladimír",for
9-20,"Kafka, Vladimír",for
9-21,"Kafka, Vladimír",for
9-22,"Kafka, Vladimír",for
9-23,"Kafka, Vladimír",for
9-24,"Kafka, Vladimír",for
9-25,"Kafka, Vladimír",for
9-26,"Kafka, Vladimír",for
9-27,"Kafka, Vladimír",for
9-28,"Kafka, Vladimír",abstain
9-29,"Kafka, Vladimír",for
9-30,"Kafka, Vladimír",for
9-31,"Kafka, Vladimír",for
9-32,"Kafka, Vladimír",for
9-33,"Kafka, Vladimír",for
9-34,"Kafka, Vladimír",for
9-35,"Kafka, Vladimír",for
9-36,"Kafka, Vladimír",for
9-37,"Kafka, Vladimír",for
9-38,"Kafka, Vladimír",for
10-1,"Kafka, Vladimír",for
10-2,"Kafka, Vladimír",for
10-3,"Kafka, Vladimír",for
10-4,"Kafka, Vladimír",for
10-5,"Kafka, Vladimír",for
10-6,"Kafka, Vladimír",for
10-7,"Kafka, Vladimír",abstain
10-8,"Kafka, Vladimír",for
10-9,"Kafka, Vladimír",for
10-10,"Kafka, Vladimír",for
10-11,"Kafka, Vladimír",for
10-12,"Kafka, Vladimír",for
10-13,"Kafka, Vladimír",for
10-14,"Kafka, Vladimír",for
10-15,"Kafka, Vladimír",for
10-16,"Kafka, Vladimír",for
11-1,"Kafka, Vladimír",absent
11-2,"Kafka, Vladimír",absent
11-3,"Kafka, Vladimír",absent
11-4,"Kafka, Vladimír",absent
11-5,"Kafka, Vladimír",absent
11-6,"Kafka, Vladimír",absent
11-7,"Kafka, Vladimír",absent
11-8,"Kafka, Vladimír",absent
11-9,"Kafka, Vladimír",absent
11-10,"Kafka, Vladimír",absent
11-11,"Kafka, Vladimír",absent
11-12,"Kafka, Vladimír",absent
11-13,"Kafka, Vladimír",absent
11-14,"Kafka, Vladimír",absent
11-15,"Kafka, Vladimír",absent
11-16,"Kafka, Vladimír",absent
8-1,"Kalina, Martin",absent
8-2,"Kalina, Martin",absent
8-3,"Kalina, Martin",absent
8-4,"Kalina, Martin",absent
8-5,"Kalina, Martin",absent
8-6,"Kalina, Martin",absent
8-7,"Kalina, Martin",absent
8-8,"Kalina, Martin",absent
8-9,"Kalina, Martin",for
8-10,"Kalina, Martin",for
8-11,"Kalina, Martin",for
8-12,"Kalina, Martin",for
8-13,"Kalina, Martin",for
8-14,"Kalina, Martin",for
8-15,"Kalina, Martin",for
8-16,"Kalina, Martin",for
8-17,"Kalina, Martin",for
8-18,"Kalina, Martin",for
8-19,"Kalina, Martin",for
8-20,"Kalina, Martin",for
8-21,"Kalina, Martin",for
8-22,"Kalina, Martin",for
8-23,"Kalina, Martin",for
8-24,"Kalina, Martin",for
8-25,"Kalina, Martin",for
8-26,"Kalina, Martin",for
8-27,"Kalina, Martin",for
8-28,"Kalina, Martin",for
8-29,"Kalina, Martin",for
8-30,"Kalina, Martin",for
8-31,"Kalina, Martin",for
8-32,"Kalina, Martin",for
